symbol,company_name,sector,current_price,num_analysts,long_term_score,value_score_v2,forward_pe,peg_ratio,sentiment_score,article_count,positive_pct,past_30d_return,sentiment_quintile
NVDA,NVIDIA Corporation,Technology,180.34,48,43.0,19.0,23.3,0.36,70.0,20.0,75.0,1.6000425260471989,Q2
GOOGL,Alphabet Inc.,Technology,341.1958,47,61.0,28.0,26.13,1.66,67.0,20.0,65.0,6.779553926833884,Q1 (Low)
AMZN,"Amazon.com, Inc.",Consumer Cyclical,238.62,46,64.0,41.0,24.6,1.1,69.0,20.0,75.0,2.677422123058444,Q2
INFY,Infosys Limited,Technology,17.785,45,46.0,21.0,21.08,2.6,71.0,20.0,75.0,-0.5656108597285149,Q2
UBER,"Uber Technologies, Inc.",Technology,81.38,41,43.0,48.0,18.23,0.65,61.0,20.0,65.0,0.2972504334902268,Q1 (Low)
AMD,"Advanced Micro Devices, Inc.",Technology,247.75,41,70.0,46.0,23.74,0.43,62.0,20.0,60.0,7.078885471322588,Q1 (Low)
SNOW,Snowflake Inc.,Technology,194.39,40,60.0,10.0,118.2,3.36,66.0,20.0,85.0,-14.46113389195936,Q1 (Low)
CRM,"Salesforce, Inc.",Technology,214.06,38,34.0,26.0,16.27,1.37,41.0,20.0,30.0,-17.158354795910405,Q1 (Low)
BABA,Alibaba Group Holding Limited,Consumer Cyclical,168.89,36,54.0,22.0,2.76,0.06,65.0,20.0,75.0,8.511455266862928,Q1 (Low)
SNAP,Snap Inc.,Communication Services,6.8212,35,28.0,0.0,,,64.0,20.0,65.0,-18.3030303030303,Q1 (Low)
JD,"JD.com, Inc.",Consumer Cyclical,28.645,34,35.0,53.0,0.96,0.02,74.0,20.0,80.0,-3.9460370994940916,Q3
DDOG,"Datadog, Inc.",Technology,129.91,34,38.0,7.0,46.07,2.11,70.0,20.0,70.0,-3.232565100269376,Q2
PYPL,"PayPal Holdings, Inc.",Financial Services,52.93,34,43.0,58.0,8.25,0.71,51.0,20.0,45.0,-11.131725417439705,Q1 (Low)
MRVL,"Marvell Technology, Inc.",Technology,78.4431,34,61.0,57.0,21.89,0.84,74.0,20.0,85.0,-12.534633713842405,Q3
SHOP,Shopify Inc.,Technology,134.21,33,40.0,19.0,54.17,1.81,69.0,20.0,65.0,-21.00655796883462,Q2
ORCL,Oracle Corporation,Technology,168.03,33,43.0,58.0,21.22,2.93,45.0,20.0,50.0,-15.19289682745729,Q1 (Low)
CRWD,"CrowdStrike Holdings, Inc.",Technology,443.42,33,60.0,18.0,92.32,3.15,73.0,20.0,80.0,-3.3161756653159533,Q2
AVGO,Broadcom Inc.,Technology,331.045,32,35.0,0.0,23.16,0.59,75.0,20.0,85.0,-3.5292062197891805,Q3
